Ticket ID,Ticket Subject,Ticket Type,predicted_type,Ticket Priority,predicted_priority
1,Product setup,Technical issue,Technical issue,Critical,Critical
2,Peripheral compatibility,Technical issue,Technical issue,Critical,Medium
3,Network problem,Technical issue,Technical issue,Low,Low
4,Account access,Billing inquiry,Billing inquiry,Low,Low
5,Data loss,Billing inquiry,Billing inquiry,Low,Low
6,Payment issue,Cancellation request,Refund request,Low,Critical
7,Refund request,Product inquiry,Technical issue,Critical,High
8,Battery life,Refund request,Refund request,Critical,Medium
9,Installation support,Technical issue,Technical issue,Low,Low
10,Payment issue,Refund request,Cancellation request,Critical,Medium
11,Data loss,Cancellation request,Technical issue,High,Medium
12,Software bug,Product inquiry,Cancellation request,High,Medium
13,Hardware issue,Technical issue,Cancellation request,Low,Low
14,Product setup,Technical issue,Billing inquiry,Low,Low
15,Product setup,Billing inquiry,Refund request,High,High
16,Product recommendation,Billing inquiry,Billing inquiry,High,High
17,Account access,Product inquiry,Product inquiry,Critical,Critical
18,Payment issue,Product inquiry,Cancellation request,High,Medium
19,Peripheral compatibility,Product inquiry,Product inquiry,High,High
20,Software bug,Refund request,Billing inquiry,Low,Low
21,Payment issue,Refund request,Refund request,High,High
22,Installation support,Cancellation request,Cancellation request,Critical,High
23,Delivery problem,Cancellation request,Technical issue,Medium,Medium
24,Refund request,Technical issue,Cancellation request,Low,Low
25,Display issue,Product inquiry,Product inquiry,Critical,Critical
26,Refund request,Product inquiry,Cancellation request,Medium,Medium
27,Cancellation request,Billing inquiry,Cancellation request,Low,Low
28,Product setup,Cancellation request,Cancellation request,High,High
29,Product recommendation,Technical issue,Technical issue,Critical,Low
30,Cancellation request,Cancellation request,Cancellation request,Medium,Medium
31,Product setup,Billing inquiry,Billing inquiry,Low,Low
32,Product compatibility,Technical issue,Technical issue,Medium,High
33,Product recommendation,Billing inquiry,Cancellation request,Medium,Critical
34,Hardware issue,Refund request,Product inquiry,Critical,Critical
35,Installation support,Refund request,Product inquiry,Low,Critical
36,Product recommendation,Cancellation request,Billing inquiry,High,High
37,Hardware issue,Refund request,Refund request,Medium,Low
38,Product compatibility,Product inquiry,Billing inquiry,Medium,Medium
39,Account access,Technical issue,Technical issue,Critical,Critical
40,Account access,Product inquiry,Billing inquiry,Medium,Medium
41,Installation support,Product inquiry,Billing inquiry,Low,High
42,Product compatibility,Billing inquiry,Product inquiry,Critical,Medium
43,Product compatibility,Product inquiry,Refund request,Medium,Medium
44,Hardware issue,Technical issue,Cancellation request,Low,Low
45,Product compatibility,Refund request,Product inquiry,Critical,Critical
46,Cancellation request,Product inquiry,Product inquiry,Low,Critical
47,Network problem,Refund request,Refund request,High,High
48,Software bug,Technical issue,Refund request,Medium,Medium
49,Network problem,Cancellation request,Technical issue,High,High
50,Display issue,Technical issue,Technical issue,Medium,High
51,Software bug,Refund request,Refund request,Medium,Low
52,Software bug,Refund request,Technical issue,Medium,Medium
53,Network problem,Refund request,Cancellation request,High,Medium
54,Delivery problem,Cancellation request,Technical issue,Low,Low
55,Network problem,Technical issue,Technical issue,Low,Critical
56,Software bug,Cancellation request,Cancellation request,Critical,Critical
57,Software bug,Technical issue,Product inquiry,Medium,Medium
58,Peripheral compatibility,Refund request,Cancellation request,Critical,Critical
59,Product recommendation,Technical issue,Technical issue,Medium,Medium
60,Cancellation request,Product inquiry,Refund request,Medium,Medium
61,Product setup,Cancellation request,Refund request,Medium,Medium
62,Battery life,Product inquiry,Product inquiry,Critical,Low
63,Payment issue,Billing inquiry,Product inquiry,High,Medium
64,Hardware issue,Billing inquiry,Billing inquiry,High,High
65,Product compatibility,Technical issue,Refund request,Medium,Low
